year,series_type,series_name,series_href
2025,International,Malaysia Quadrangular T20I Series,https://www.cricbuzz.com/cricket-series/9710/malaysia-quadrangular-t20i-series-2025/matches
2025,International,Zimbabwe tour of Bangladesh,https://www.cricbuzz.com/cricket-series/9514/zimbabwe-tour-of-bangladesh-2025/matches
2025,International,The North American T20 Cup,https://www.cricbuzz.com/cricket-series/9677/the-north-american-t20-cup-2025/matches
2025,International,Central American Cricket Championships,https://www.cricbuzz.com/cricket-series/9692/central-american-cricket-championships-2025/matches
2025,International,Hong Kong T20I Quadrangular Series,https://www.cricbuzz.com/cricket-series/9647/hong-kong-t20i-quadrangular-series-2025/matches
2025,International,Portugal tour of Norway,https://www.cricbuzz.com/cricket-series/9534/portugal-tour-of-norway-2025/matches
2025,International,Canada tour of Namibia,https://www.cricbuzz.com/cricket-series/9523/canada-tour-of-namibia-2025/matches
2025,International,Pakistan tour of New Zealand,https://www.cricbuzz.com/cricket-series/8562/pakistan-tour-of-new-zealand-2025/matches
,International,Falkland Islands tour of Costa Rica 2025,https://www.cricbuzz.com/cricket-series/9507/falkland-islands-tour-of-costa-rica-2025/matches
2025,International,Malaysia Tri-Nation T20I Series,https://www.cricbuzz.com/cricket-series/9480/malaysia-tri-nation-t20i-series-2025/matches
2025,International,Bahrain tour of Singapore,https://www.cricbuzz.com/cricket-series/9453/bahrain-tour-of-singapore-2025/matches
2025,International,USA tour of Oman T20I Series,https://www.cricbuzz.com/cricket-series/9451/usa-tour-of-oman-t20i-series-2025/matches
2025,International,Bahrain tour of Indonesia,https://www.cricbuzz.com/cricket-series/9426/bahrain-tour-of-indonesia-2025/matches
2025,International,ICC Champions Trophy,https://www.cricbuzz.com/cricket-series/9325/icc-champions-trophy-2025/matches
2025,International,Pakistan ODI Tri-Series,https://www.cricbuzz.com/cricket-series/8511/pakistan-odi-tri-series-2025/matches
2025,International,Ireland tour of Zimbabwe,https://www.cricbuzz.com/cricket-series/9331/ireland-tour-of-zimbabwe-2025/matches
2025,International,Malta T20I Tri-Series,https://www.cricbuzz.com/cricket-series/9375/malta-t20i-tri-series-2025/matches
2025,International,Australia tour of Sri Lanka,https://www.cricbuzz.com/cricket-series/9181/australia-tour-of-sri-lanka-2025/matches
2025,International,England tour of India,https://www.cricbuzz.com/cricket-series/8402/england-tour-of-india-2025/matches
2025,International,West Indies tour of Pakistan,https://www.cricbuzz.com/cricket-series/8504/west-indies-tour-of-pakistan-2025/matches
2025,T20 League,Pakistan Super League,https://www.cricbuzz.com/cricket-series/9460/pakistan-super-league-2025/matches
